,Title,Tag,Text,Date
5378,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
5379,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
5380,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
5381,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
5382,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
5383,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
5384,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
5385,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
5386,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
5387,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
5388,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
5389,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
5390,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
5391,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
5392,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
5393,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
5394,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
5395,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
5396,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
5397,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
5398,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
5399,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
5400,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
5401,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
5402,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
5403,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
5404,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
5405,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
5406,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
5407,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
5408,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
5409,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
5410,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
5411,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
5412,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
5413,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
5414,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
5415,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
5416,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
5417,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
5418,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
5419,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
5420,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
5421,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
5422,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
5423,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
5424,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
5425,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
5426,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
5427,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
5428,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
5429,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
5430,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
5431,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
5432,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
5433,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
5434,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
5435,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
5436,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
5437,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
5438,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
5439,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
5440,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
5441,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
5442,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
5443,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
5444,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
5445,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
5446,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
5447,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
5448,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
5449,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
5450,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
5451,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
5452,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
5453,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
5454,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
5455,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
5456,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
5457,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
5458,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
5459,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
5460,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
5461,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
5462,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
5463,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
5464,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
5465,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
5466,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
5467,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
5468,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
5469,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
5470,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
5471,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
5472,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
5473,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
5474,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
5475,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
5476,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
5477,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
5478,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
5479,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
5480,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
5481,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
5482,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
5483,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
5484,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
5485,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
5486,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
5487,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
5488,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
5489,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
5490,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
5491,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
5492,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
5493,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
5494,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
5495,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
5496,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
5497,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
5498,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
5499,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
5500,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
5501,2020 Rugby Americas competitions update,Press releases,2020 Rugby Americas competitions will not take place in current format this year due to covid-19 pandemic.,07/07/2020 09:00
5502,IGR’s Ben Owen: “Rugby is an accepting space for LGBTQ+ people”,International Gay Rugby,"Outgoing International Gay Rugby (IGR) chairman Ben Owen talks to World Rugby about the organisation’s work, the challenges it faces, and his own experiences within the game.",06/07/2020 14:00
5503,Barbados and beyond: Sevens captain Sean Ward on leading without limits,Regional focus: North America,"Barbados men’s sevens captain Sean Ward has been an active mentor and reliable team-mate to many up-and-coming players, both in Barbados and overseas, making him a highly respected member of the global rugby circuit and the wider community.",05/07/2020 15:00
5504,Jo Yapp planning for the long-term at Worcester Warriors Women,Women in Rugby,"Jo Yapp talks to World Rugby about her promotion at Worcester, working with the Barbarians and her coaching philosophy.",04/07/2020 12:00
5505,Kazakhstan women aiming for Rugby World Cup return,women in rugby,"Once one of the leading women’s teams in international rugby, Kazakhstan are attempting to mount a revival in 15s rugby.",03/07/2020 08:37
5506,Rugby’s six most successful cross-code converts,Game Changers,"Following on from our exclusive interview with John Muggleton, rugby’s first full-time cross-code coach, we pick out the most successful players to convert to rugby union direct from rugby league.",02/07/2020 15:00
5507,Commentator Rikki Swannell picks seven women who helped change the face of rugby sevens,Women in Rugby,Sky Sports Rugby commentator Rikki Swannell picks seven players who embody the growth that women’s sevens has made since the inaugural World Rugby Sevens Series.,02/07/2020 12:00
5508,Elaine Vassie putting down roots with the Dallas Jackals,Women in Rugby,"Dallas Jackals assistant general manager and assistant coach Elaine Vassie talks to World Rugby about her new life in the USA, where she is helping the game to flourish.",01/07/2020 14:30
5509,Chiharu Nakamura takes on new challenge to grow women’s game in Japan,Women in Rugby,"Japan sevens star Chiharu Nakamura has taken on the role of player/general manager for a brand-new club in Fukuoka, eager to create more opportunities for women’s rugby in the country and a career pathway when the time comes for players to hang up their boots.",01/07/2020 06:00
5510,Everything you need to know about the Calcutta Cup,Rugby history,World Rugby examines the facts and figures behind Scotland and England’s rivalry in the Calcutta Cup – the oldest trophy in international rugby.,07/07/2020 14:00
